time,downspeed,upspeed
17:40:24,111.46,14.44
17:41:47,96.98,14.08
17:43:07,132.74,14.52
17:44:27,136.28,13.28
17:45:48,128.81,13.84
17:47:08,128.41,10.05
17:48:28,106.91,13.65
17:49:49,119.8,13.53
17:51:10,101.92,13.39
17:52:31,144.75,13.66
17:53:52,127.49,14.87
17:55:12,105.93,12.58
17:56:33,87.34,13.92
17:57:53,76.83,13.88
17:59:14,105.08,13.19
18:00:35,97.5,9.71
18:01:59,101.64,13.77
18:03:19,110.41,13.81
18:04:40,91.72,12.83
18:06:01,82.43,13.62
18:07:22,140.79,14.7
18:08:42,134.2,13.75
18:10:03,87.63,14.23
18:11:24,92.13,13.13
18:12:44,108.86,13.38
18:14:05,86.21,14.18
18:15:25,84.08,14.61
18:16:45,127.86,13.19
18:18:06,83.34,12.86
18:19:27,120.88,14.83
18:20:47,88.08,12.58
18:22:07,103.96,12.84
18:23:28,118.38,13.3
18:24:49,81.37,14.14
18:26:09,64.31,13.24
